"","X","week","metric","display_title","rolling_avg","city","region","color"
"228",2220,2020-04-27,"downtown","Charlotte, NC",0.389090909090909,"Charlotte","Southeast","#dc4633"
"229",2216,2020-04-27,"downtown","Jacksonville, FL",0.468181818181818,"Jacksonville","Southeast","#dc4633"
"230",2191,2020-04-27,"downtown","Memphis, TN",0.435,"Memphis","Southeast","#dc4633"
"231",2244,2020-04-27,"downtown","Miami, FL",0.444090909090909,"Miami","Southeast","#dc4633"
"232",2225,2020-04-27,"downtown","Nashville, TN",0.177272727272727,"Nashville","Southeast","#dc4633"
"233",2211,2020-04-27,"downtown","New Orleans, LA",0.172727272727273,"New Orleans","Southeast","#dc4633"
"234",2243,2020-04-27,"downtown","Raleigh, NC",0.255454545454545,"Raleigh","Southeast","#dc4633"
"235",2210,2020-04-27,"downtown","Tampa, FL",0.503181818181818,"Tampa","Southeast","#dc4633"
"236",2195,2020-04-27,"downtown","Albuquerque, NM",0.603636363636364,"Albuquerque","Southwest","#e6ab02"
"237",2215,2020-04-27,"downtown","Austin, TX",0.272272727272727,"Austin","Southwest","#e6ab02"
"238",2242,2020-04-27,"downtown","Colorado Springs, CO",0.535454545454546,"Colorado Springs","Southwest","#e6ab02"
"239",2223,2020-04-27,"downtown","Denver, CO",0.289545454545455,"Denver","Southwest","#e6ab02"
"240",2227,2020-04-27,"downtown","El Paso, TX",0.589090909090909,"El Paso","Southwest","#e6ab02"
"241",2217,2020-04-27,"downtown","Fort Worth, TX",0.416363636363636,"Fort Worth","Southwest","#e6ab02"
"242",2200,2020-04-27,"downtown","Houston, TX",0.323181818181818,"Houston","Southwest","#e6ab02"
"243",2189,2020-04-27,"downtown","Las Vegas, NV",0.444090909090909,"Las Vegas","Southwest","#e6ab02"
"244",2201,2020-04-27,"downtown","Phoenix, AZ",0.623181818181818,"Phoenix","Southwest","#e6ab02"
"245",2232,2020-04-27,"downtown","Salt Lake City, UT",0.428636363636364,"Salt Lake City","Southwest","#e6ab02"
"246",2203,2020-04-27,"downtown","San Antonio, TX",0.230454545454545,"San Antonio","Southwest","#e6ab02"
"247",2196,2020-04-27,"downtown","Tucson, AZ",0.502727272727273,"Tucson","Southwest","#e6ab02"
"248",2207,2020-04-27,"downtown","Tulsa, OK",0.382272727272727,"Tulsa","Southwest","#e6ab02"
"249",2245,2020-05-04,"downtown","Calgary, AB",0.309090909090909,"Calgary","Canada","#ab1368"
"250",2247,2020-05-04,"downtown","Edmonton, AB",0.430909090909091,"Edmonton","Canada","#ab1368"
"251",2252,2020-05-04,"downtown","Halifax, NS",0.332727272727273,"Halifax","Canada","#ab1368"
"252",2253,2020-05-04,"downtown","London, ON",0.303636363636364,"London","Canada","#ab1368"
